time,Vbus(V),Ibus(A),Power(W),Vd+(V),Vd-(V),energy(Wh),temperature(��),,,,,,,
00:20.6,5.0029,0.1451,0.7261,3.046,0.005,,,4.9979,0.1795,0.8969,3.064,0.058,,
00:20.7,5.0029,0.1451,0.7261,0.619,2.622,,,4.9981,0.1452,0.7257,3.039,0.97,,
00:20.8,5.0029,0.1451,0.7261,3.01,0.009,,,5.0003,0.144,0.72,2.969,0.013,,
00:20.9,5.0029,0.1451,0.726,3.097,0.003,,,5.0013,0.1446,0.7231,2.482,0.015,,
00:21.0,5.0029,0.1451,0.7259,3.085,0.018,0.0044,27.7,5.0017,0.1448,0.7243,3.271,0.005,,
00:21.1,5.0029,0.1451,0.7258,3.083,0.003,,,5.0023,0.1452,0.7264,2.987,0.008,,
00:21.2,5.0029,0.1451,0.7259,2.527,2.395,,,5.0025,0.1452,0.7264,3.272,0.004,,
00:21.3,5.0029,0.1451,0.726,3.054,0.003,,,5.0028,0.1453,0.727,3.283,0.002,,
00:21.4,5.0029,0.1451,0.7261,3.062,0.856,,,5.0029,0.1453,0.7271,3.064,3.032,,
00:21.5,5.0029,0.1452,0.7262,3.064,0.129,,,5.0029,0.1454,0.7272,3.029,2.624,0.0392,27.7
00:21.6,5.0029,0.1451,0.726,3.027,0.121,,,5.0029,0.1454,0.7273,3.009,0.004,,
00:21.7,5.0028,0.1451,0.7259,3.047,0.01,,,5.0029,0.1454,0.7274,3.068,0.002,,
00:21.8,5.0028,0.1451,0.7259,3.082,0.028,,,5.0029,0.1454,0.7273,3.053,0.008,,
00:21.9,5.0029,0.1451,0.7259,3.083,0.002,,,5.0029,0.1451,0.7258,3.083,0.011,,
00:22.0,5.0029,0.1451,0.726,2.768,2.379,0.0046,27.4,5.0029,0.145,0.7255,2.856,0.003,,
00:22.1,5.0029,0.1452,0.7262,3.092,0.007,,,5.0029,0.1449,0.7247,2.941,0.003,,
00:22.2,5.0029,0.1452,0.7266,3.031,0.007,,,5.0029,0.1449,0.7247,3.062,0.019,,
00:22.3,5.0029,0.1452,0.7262,0.614,2.633,,,5.0029,0.1448,0.7244,0.767,0.006,,
00:22.4,5.0029,0.1451,0.726,3.074,0.138,,,5.0029,0.1447,0.7238,2.884,0.091,,
